station_name,station_link,type,bus_number
Mochit 2 / Northeastern Bus Terminal,http://www.transitbangkok.com/stations/Bangkok%20Bus/Mochit%202%20_%20Northeastern%20Bus%20Terminal,inbound,49
Wat Soy Thong School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Soy%20Thong%20School,inbound,49
Bus stop for Kiak Kai Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Kiak%20Kai%20Pier,inbound,49
Royal Irrigation Department Si Yan,http://www.transitbangkok.com/stations/Bangkok%20Bus/Royal%20Irrigation%20Department%20Si%20Yan,inbound,49
Thewet  Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Thewet%20%20Intersection,inbound,49
Charoen Krung,http://www.transitbangkok.com/stations/Bangkok%20Bus/Charoen%20Krung,inbound,49
Hua Lamphong Railway Station,http://www.transitbangkok.com/stations/Bangkok%20Bus/Hua%20Lamphong%20Railway%20Station,inbound,49
Hua Lamphong Railway Station,http://www.transitbangkok.com/stations/Bangkok%20Bus/Hua%20Lamphong%20Railway%20Station,outbound,49
Klang Hospital Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Klang%20Hospital%20Intersection,outbound,49
Thewet  Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Thewet%20%20Intersection,outbound,49
Royal Irrigation Department Si Yan,http://www.transitbangkok.com/stations/Bangkok%20Bus/Royal%20Irrigation%20Department%20Si%20Yan,outbound,49
Bus stop for Kiak Kai Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Kiak%20Kai%20Pier,outbound,49
Wat Soy Thong School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Soy%20Thong%20School,outbound,49
Mochit 2 / Northeastern Bus Terminal,http://www.transitbangkok.com/stations/Bangkok%20Bus/Mochit%202%20_%20Northeastern%20Bus%20Terminal,outbound,49
Talad Krung Thep,http://www.transitbangkok.com/stations/Bangkok%20Bus/Talad%20Krung%20Thep,inbound,50
Tao Pun Police Station,http://www.transitbangkok.com/stations/Bangkok%20Bus/Tao%20Pun%20Police%20Station,inbound,50
Samphawut Niwet,http://www.transitbangkok.com/stations/Bangkok%20Bus/Samphawut%20Niwet,inbound,50
Suan Chitralada,http://www.transitbangkok.com/stations/Bangkok%20Bus/Suan%20Chitralada,inbound,50
Ramathibodi Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ramathibodi%20Hospital,inbound,50
Uruphong,http://www.transitbangkok.com/stations/Bangkok%20Bus/Uruphong,inbound,50
Ratchathewi,http://www.transitbangkok.com/stations/BTS/Ratchathewi,inbound,50
Chulalongkorn University (Phaya Thai Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,inbound,50
Sam Yan,http://www.transitbangkok.com/stations/Mrt/Sam%20Yan,inbound,50
Chulalongkorn Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital,inbound,50
"Chulalongkorn Hospital, Faculty of Medicine",http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,inbound,50
Lumphini Police Station,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lumphini%20Police%20Station,outbound,50
Si Lom,http://www.transitbangkok.com/stations/Mrt/Si%20Lom,outbound,50
Chulalongkorn Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital,outbound,50
Sam Yan,http://www.transitbangkok.com/stations/Mrt/Sam%20Yan,outbound,50
Chulalongkorn University (Phaya Thai Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,outbound,50
Ratchathewi,http://www.transitbangkok.com/stations/BTS/Ratchathewi,outbound,50
Uruphong,http://www.transitbangkok.com/stations/Bangkok%20Bus/Uruphong,outbound,50
Ramathibodi Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ramathibodi%20Hospital,outbound,50
Suan Chitralada,http://www.transitbangkok.com/stations/Bangkok%20Bus/Suan%20Chitralada,outbound,50
Samphawut Niwet,http://www.transitbangkok.com/stations/Bangkok%20Bus/Samphawut%20Niwet,outbound,50
Tao Pun Police Station,http://www.transitbangkok.com/stations/Bangkok%20Bus/Tao%20Pun%20Police%20Station,outbound,50
Talad Krung Thep,http://www.transitbangkok.com/stations/Bangkok%20Bus/Talad%20Krung%20Thep,outbound,50
"Department of Electricity, Bang Kruay",http://www.transitbangkok.com/stations/Bangkok%20Bus/Department%20of%20Electricity%2C%20Bang%20Kruay,outbound,50
Bang Khen Youth Center,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Khen%20Youth%20Center,inbound,51
Wat Khema Phirataram School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Khema%C2%A0Phirataram%20School,inbound,51
Wat Soy Thong School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Soy%20Thong%20School,inbound,51
Bus stop for Kiak Kai Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Kiak%20Kai%20Pier,inbound,51
Royal Irrigation Department Si Yan,http://www.transitbangkok.com/stations/Bangkok%20Bus/Royal%20Irrigation%20Department%20Si%20Yan,inbound,51
Thewet  Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Thewet%20%20Intersection,inbound,51
Wat Sam Phraya,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Sam%20Phraya,inbound,51
Wat Chanasongkram School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Chanasongkram%20School,inbound,51
National Theatre,http://www.transitbangkok.com/stations/Bangkok%20Bus/National%20Theatre,inbound,51
Wang Lang Pier (Tha Prachan),http://www.transitbangkok.com/stations/Bangkok%20Bus/Wang%20Lang%20Pier%20%28Tha%20Prachan%29,inbound,51
"Thamassat University, Sanam Luang",http://www.transitbangkok.com/stations/Bangkok%20Bus/Thamassat%20University%2C%20Sanam%20Luang,inbound,51
Sanam Luang,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sanam%20Luang,inbound,51
Sanam Luang,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sanam%20Luang,outbound,51
National Theatre,http://www.transitbangkok.com/stations/Bangkok%20Bus/National%20Theatre,outbound,51
Wat Chanasongkram School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Chanasongkram%20School,outbound,51
Wat Sam Phraya,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Sam%20Phraya,outbound,51
Thewet  Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Thewet%20%20Intersection,outbound,51
Royal Irrigation Department Si Yan,http://www.transitbangkok.com/stations/Bangkok%20Bus/Royal%20Irrigation%20Department%20Si%20Yan,outbound,51
Bus stop for Kiak Kai Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Kiak%20Kai%20Pier,outbound,51
Wat Soy Thong School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Soy%20Thong%20School,outbound,51
Wat Khema Phirataram School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Khema%C2%A0Phirataram%20School,outbound,51
Bang Khen Youth Center,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Khen%20Youth%20Center,outbound,51
Muang Thon Thani,http://www.transitbangkok.com/stations/Bangkok%20Bus/Muang%20Thon%20Thani,inbound,52
Kasetsart University (Viphawadi Rangsit Rd),http://www.transitbangkok.com/stations/Bangkok%20Bus/Kasetsart%20University%20%28Viphawadi%20Rangsit%20Rd%29,inbound,52
Mo Chit,http://www.transitbangkok.com/stations/BTS/Mo%20Chit,inbound,52
Chatuchak Park,http://www.transitbangkok.com/stations/Mrt/Chatuchak%20Park,inbound,52
Saphan Kwai,http://www.transitbangkok.com/stations/BTS/Saphan%20Kwai,inbound,52
Bang Sue,http://www.transitbangkok.com/stations/Mrt/Bang%20Sue,inbound,52
Bang Sue,http://www.transitbangkok.com/stations/Mrt/Bang%20Sue,outbound,52
Saphan Kwai,http://www.transitbangkok.com/stations/BTS/Saphan%20Kwai,outbound,52
Chatuchak Park,http://www.transitbangkok.com/stations/Mrt/Chatuchak%20Park,outbound,52
Mo Chit,http://www.transitbangkok.com/stations/BTS/Mo%20Chit,outbound,52
Kasetsart University (Viphawadi Rangsit Rd),http://www.transitbangkok.com/stations/Bangkok%20Bus/Kasetsart%20University%20%28Viphawadi%20Rangsit%20Rd%29,outbound,52
Muang Thon Thani,http://www.transitbangkok.com/stations/Bangkok%20Bus/Muang%20Thon%20Thani,outbound,52
Thewet  Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Thewet%20%20Intersection,inbound,53
Department of Social Welfare,http://www.transitbangkok.com/stations/Bangkok%20Bus/Department%20of%20Social%20Welfare,inbound,53
Bobe Market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bobe%20Market,inbound,53
China Town,http://www.transitbangkok.com/stations/Bangkok%20Bus/China%20Town,inbound,53
China World ,http://www.transitbangkok.com/stations/Bangkok%20Bus/China%20World%20,inbound,53
Pak Klong Flower Market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Pak%20Klong%20Flower%20Market,inbound,53
Wat Po,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Po,inbound,53
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,inbound,53
Grand Palace (Maharat Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Grand%20Palace%20%28Maharat%20Road%29,inbound,53
Wang Lang Pier (Tha Prachan),http://www.transitbangkok.com/stations/Bangkok%20Bus/Wang%20Lang%20Pier%20%28Tha%20Prachan%29,inbound,53
"Thamassat University, Sanam Luang",http://www.transitbangkok.com/stations/Bangkok%20Bus/Thamassat%20University%2C%20Sanam%20Luang,inbound,53
National Theatre,http://www.transitbangkok.com/stations/Bangkok%20Bus/National%20Theatre,inbound,53
